"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 03 22:56:06 GMT 2025","Mon Mar 03 22:56:06 GMT 2025","222","PFLB Poligon SmokeTests","Tests","tests.uiTests.CreditTest","tests.uiTests.CreditTest","testEnteringIncorrectAmount","Ввод корректного id и отрицательной суммы.",""
"passed","Mon Mar 03 22:56:28 GMT 2025","Mon Mar 03 22:56:29 GMT 2025","1855","PFLB Poligon SmokeTests","Tests","tests.apiTests.HouseApiTest","tests.apiTests.HouseApiTest","deleteHouse","deleteHouse","Проверка удаления нового дома с корректными параметрами"
"passed","Mon Mar 03 22:56:20 GMT 2025","Mon Mar 03 22:56:23 GMT 2025","3170","PFLB Poligon SmokeTests","Tests","tests.apiTests.UserApiTest","tests.apiTests.UserApiTest","workFlowTest","workFlowTest","Создание, чтение, изменение, удаление пользователя"
"passed","Mon Mar 03 22:44:09 GMT 2025","Mon Mar 03 22:44:10 GMT 2025","278","PFLB Poligon SmokeTests","Tests","tests.uiTests.LoginTest","tests.uiTests.LoginTest","fieldPasswordEmptyLogin","fieldPasswordEmptyLogin",""
"passed","Mon Mar 03 22:45:01 GMT 2025","Mon Mar 03 22:45:07 GMT 2025","6408","PFLB Poligon SmokeTests","Tests","tests.uiTests.CheckInCheckOutTest","tests.uiTests.CheckInCheckOutTest","incorrectEvictHouseTest","incorrectEvictHouseTest",""
"passed","Mon Mar 03 22:47:15 GMT 2025","Mon Mar 03 22:47:21 GMT 2025","6796","PFLB Poligon SmokeTests","Tests","tests.uiTests.CreateNewUserTest","tests.uiTests.CreateNewUserTest","checkUserOnTableTest","Проверка отображения созданного пользователя в таблице Read all","Проверка отображения созданного пользователя в таблице Read all"
"passed","Mon Mar 03 22:53:41 GMT 2025","Mon Mar 03 22:55:41 GMT 2025","120960","PFLB Poligon SmokeTests","Tests","tests.uiTests.CreditTest","tests.uiTests.CreditTest","testLoanFailure","Ввод корректного id и суммы.",""
"passed","Mon Mar 03 22:56:13 GMT 2025","Mon Mar 03 22:56:14 GMT 2025","771","PFLB Poligon SmokeTests","Tests","tests.uiTests.GetCarsListFromUserTest","tests.uiTests.GetCarsListFromUserTest","getCarsList","Проверка списка машин по id юзера","Проверка списка машин по id юзера"
"passed","Mon Mar 03 22:48:06 GMT 2025","Mon Mar 03 22:48:10 GMT 2025","4427","PFLB Poligon SmokeTests","Tests","tests.uiTests.CreateNewCarTest","tests.uiTests.CreateNewCarTest","createNewCarWithValidData","Тест создания автомобиля с валидными данными","Тест создания автомобиля с валидными данными"
"passed","Mon Mar 03 22:56:14 GMT 2025","Mon Mar 03 22:56:16 GMT 2025","2281","PFLB Poligon SmokeTests","Tests","tests.apiTests.AuthorizationApiTest","tests.apiTests.AuthorizationApiTest","getAccessToken","getAccessToken",""
