"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 12 12:46:32 GMT 2025","Wed Mar 12 12:46:47 GMT 2025","14828","PFLB Poligon SmokeTests","Tests","tests.uiTests.CreateNewUserTest","tests.uiTests.CreateNewUserTest","checkNotCreatedUserTest","Проверка отсутствия создания пользователя с Некорректными данными","Проверка отсутствия создания пользователя с Некорректными данными"
"passed","Wed Mar 12 12:56:07 GMT 2025","Wed Mar 12 12:56:08 GMT 2025","219","PFLB Poligon SmokeTests","Tests","tests.uiTests.CreditTest","tests.uiTests.CreditTest","testEnteringIncorrectAmount","Ввод корректного id и отрицательной суммы.",""
"passed","Wed Mar 12 12:53:14 GMT 2025","Wed Mar 12 12:53:15 GMT 2025","697","PFLB Poligon SmokeTests","Tests","tests.uiTests.PlusMoneyTest","tests.uiTests.PlusMoneyTest","testAddMoneyNonExistentUser","Ввод некорректного id и суммы.",""
"passed","Wed Mar 12 12:48:43 GMT 2025","Wed Mar 12 12:48:58 GMT 2025","14570","PFLB Poligon SmokeTests","Tests","tests.uiTests.CreateNewCarTest","tests.uiTests.CreateNewCarTest","createNewCarWithNotValidEngineTypeField","Тест создания автомобиля с не валидными данными в поле Engine Type","Тест создания автомобиля с не валидными данными в поле Engine Type"
"passed","Wed Mar 12 12:44:13 GMT 2025","Wed Mar 12 12:44:19 GMT 2025","6572","PFLB Poligon SmokeTests","Tests","tests.uiTests.CheckInCheckOutTest","tests.uiTests.CheckInCheckOutTest","incorrectSettleHouseTest","incorrectSettleHouseTest",""
"passed","Wed Mar 12 12:43:30 GMT 2025","Wed Mar 12 12:43:31 GMT 2025","925","PFLB Poligon SmokeTests","Tests","tests.uiTests.LoginTest","tests.uiTests.LoginTest","fieldPasswordWrongLogin","fieldPasswordWrongLogin",""
"passed","Wed Mar 12 12:43:40 GMT 2025","Wed Mar 12 12:43:40 GMT 2025","353","PFLB Poligon SmokeTests","Tests","tests.uiTests.LoginTest","tests.uiTests.LoginTest","incorrectPassword","incorrectPassword",""
"passed","Wed Mar 12 12:56:52 GMT 2025","Wed Mar 12 12:56:54 GMT 2025","1709","PFLB Poligon SmokeTests","Tests","tests.dbTests.UserDbTest","tests.dbTests.UserDbTest","checkUserDBTest","Проверка информации по ID пользователя в БД","Проверка информации по ID пользователя в БД"
"passed","Wed Mar 12 12:50:23 GMT 2025","Wed Mar 12 12:50:28 GMT 2025","4926","PFLB Poligon SmokeTests","Tests","tests.uiTests.CreateNewHouseTest","tests.uiTests.CreateNewHouseTest","createNewHouseFractionalNumberOfFloors","Проверка создания дома с дробным количеством этажей - округление этажности до целого в меньшую сторону","Проверка создания дома с дробным количеством этажей - округление до целого в меньшую сторону"
"passed","Wed Mar 12 12:56:30 GMT 2025","Wed Mar 12 12:56:31 GMT 2025","842","PFLB Poligon SmokeTests","Tests","tests.apiTests.UserInfoApiTest","tests.apiTests.UserInfoApiTest","getUserInfoTest","Проверка информации по ID пользователя","Проверка информации по ID пользователя"
"passed","Wed Mar 12 12:45:18 GMT 2025","Wed Mar 12 12:45:33 GMT 2025","14632","PFLB Poligon SmokeTests","Tests","tests.uiTests.CreateNewUserTest","tests.uiTests.CreateNewUserTest","checkNotCreatedUserTest","Проверка отсутствия создания пользователя с Некорректными данными","Проверка отсутствия создания пользователя с Некорректными данными"
"passed","Wed Mar 12 12:43:34 GMT 2025","Wed Mar 12 12:43:34 GMT 2025","287","PFLB Poligon SmokeTests","Tests","tests.uiTests.LoginTest","tests.uiTests.LoginTest","fieldPasswordEmptyLogin","fieldPasswordEmptyLogin",""
"passed","Wed Mar 12 12:56:23 GMT 2025","Wed Mar 12 12:56:27 GMT 2025","4270","PFLB Poligon SmokeTests","Tests","tests.apiTests.UserApiTest","tests.apiTests.UserApiTest","workFlowTest","workFlowTest","Создание, чтение, изменение, удаление пользователя"
"passed","Wed Mar 12 12:44:31 GMT 2025","Wed Mar 12 12:44:37 GMT 2025","6579","PFLB Poligon SmokeTests","Tests","tests.uiTests.CheckInCheckOutTest","tests.uiTests.CheckInCheckOutTest","incorrectEvictHouseTest","incorrectEvictHouseTest",""
"passed","Wed Mar 12 12:56:40 GMT 2025","Wed Mar 12 12:56:45 GMT 2025","4201","PFLB Poligon SmokeTests","Tests","tests.apiTests.CarApiTest","tests.apiTests.CarApiTest","CarCRUDTest","CarCRUDTest","Создание, чтение, изменение, удаление автомобиля"
"passed","Wed Mar 12 12:43:54 GMT 2025","Wed Mar 12 12:44:01 GMT 2025","6587","PFLB Poligon SmokeTests","Tests","tests.uiTests.CheckInCheckOutTest","tests.uiTests.CheckInCheckOutTest","evictUser","evictUser",""
"passed","Wed Mar 12 12:44:04 GMT 2025","Wed Mar 12 12:44:10 GMT 2025","6601","PFLB Poligon SmokeTests","Tests","tests.uiTests.CheckInCheckOutTest","tests.uiTests.CheckInCheckOutTest","incorrectSettleUserTest","incorrectSettleUserTest",""
"passed","Wed Mar 12 12:47:45 GMT 2025","Wed Mar 12 12:47:50 GMT 2025","4421","PFLB Poligon SmokeTests","Tests","tests.uiTests.CreateNewCarTest","tests.uiTests.CreateNewCarTest","createNewCarWithValidData","Тест создания автомобиля с валидными данными","Тест создания автомобиля с валидными данными"
"passed","Wed Mar 12 12:53:40 GMT 2025","Wed Mar 12 12:55:41 GMT 2025","121030","PFLB Poligon SmokeTests","Tests","tests.uiTests.CreditTest","tests.uiTests.CreditTest","testLoanFailure","Ввод корректного id и суммы.",""
